text,total_num_physical_reads,min_rows,max_rows,query_hash,query_plan_hash,execution_count
"SELECT 
  name AS FunctionName,
  create_date AS CreationDate,
  modify_date AS LastModifiedDate,
  OBJECT_DEFINITION(object_id) AS FunctionText
    FROM 
  sys.objects
    WHERE 
  type IN ('FN', 'IF', 'TF')  -- 'FN' for scalar functions, 'IF' for inline table-valued functions, 'TF' for multi-statement table-valued functions
ORDER BY 
  name;
",1,3,3,0xb26d719bfe985e3b,0xc51757161357ed44,1
"SELECT 
  name AS ProcedureName,
  create_date AS CreationDate,
  modify_date AS LastModifiedDate,
  OBJECT_DEFINITION(object_id) AS ProcedureText FROM 
  sys.procedures
    ORDER BY 
  name;
",0,7,7,0x57f610118d5bf121,0xc51757161357ed44,1
"SELECT 
  name AS ViewName,
  OBJECT_DEFINITION(object_id) AS ViewDefinition
  FROM 
  sys.views;
",1,16,16,0x37551f3c638d18f2,0x63fec5b8ede951bb,1
"select table_view,
    object_type, 
    constraint_type,
    constraint_name,
    details
from (
    select schema_name(t.schema_id) + '.' + t.[name] as table_view, 
        case when t.[type] = 'U' then 'Table'
            when t.[type] = 'V' then 'View'
            end as [object_type],
        case when c.[type] = 'PK' then 'Primary key'
            when c.[type] = 'UQ' then 'Unique constraint'
            when i.[type] = 1 then 'Unique clustered index'
            when i.type = 2 then 'Unique index'
            end as constraint_type, 
        isnull(c.[name], i.[name]) as constraint_name,
        substring(column_names, 1, len(column_names)-1) as [details]
    from sys.objects t
        left outer join sys.indexes i
            on t.object_id = i.object_id
        left outer join sys.key_constraints c
            on i.object_id = c.parent_object_id 
            and i.index_id = c.unique_index_id
      cross apply (select col.[name] + ', '
                        from sys.index_columns ic
                            inner join sys.columns col
                                on ic.object_id = col.object_id
                                and ic.column_id = col.column_id
                        where ic.object_id = t.object_id
                            and ic.index_id = i.index_id
                                order by col.column_id
                                for xml path ('') ) D (column_names)
    where is_unique = 1
    and t.is_ms_shipped <> 1
    union all 
    select schema_name(fk_tab.schema_id) + '.' + fk_tab.name as foreign_table,
        'Table',
        'Foreign key',
        fk.name as fk_constraint_name,
        schema_name(pk_tab.schema_id) + '.' + pk_tab.name
    from sys.foreign_keys fk
        inner join sys.tables fk_tab
            on fk_tab.object_id = fk.parent_object_id
        inner join sys.tables pk_tab
            on pk_tab.object_id = fk.referenced_object_id
        inner join sys.foreign_key_columns fk_cols
            on fk_cols.constraint_object_id = fk.object_id
    union all
    select schema_name(t.schema_id) + '.' + t.[name],
        'Table',
        'Check constraint',
        con.[name] as constraint_name,
        con.[definition]
    from sys.check_constraints con
        left outer join sys.objects t
            on con.parent_object_id = t.object_id
        left outer join sys.all_columns col
            on con.parent_column_id = col.column_id
            and con.parent_object_id = col.object_id
    union all
    select schema_name(t.schema_id) + '.' + t.[name],
        'Table',
        'Default constraint',
        con.[name],
        col.[name] + ' = ' + con.[definition]
    from sys.default_constraints con
        left outer join sys.objects t
            on con.parent_object_id = t.object_id
        left outer join sys.all_columns col
            on con.parent_column_id = col.column_id
            and con.parent_object_id = col.object_id) a
order by table_view, constraint_type, constraint_name
",13,43,43,0x166d6a949bf40b65,0x7ce74837095fc4d2,1
SELECT * FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE',14,13,13,0x9830bd164abf68c4,0xd0ae1dedb21a8702,1
"
create procedure sys.sp_datatype_info_100
(
    @data_type int = 0,
    @ODBCVer tinyint = 2
)
as
    declare @mintype int
    declare @maxtype int

    set @ODBCVer = isnull(@ODBCVer, 2)
    if @ODBCVer < 3 -- includes ODBC 1.0 as well
        set @ODBCVer = 2
    else
        set @ODBCVer = 3

    if @data_type = 0
    begin
        select @mintype = -32768
        select @maxtype = 32767
    end
    else
    begin
        select @mintype = @data_type
        select @maxtype = @data_type
    end

    select
        TYPE_NAME           = v.TYPE_NAME,
        DATA_TYPE           = v.DATA_TYPE,
        PRECISION           = v.PRECISION,
        LITERAL_PREFIX      = v.LITERAL_PREFIX,
        LITERAL_SUFFIX      = v.LITERAL_SUFFIX,
        CREATE_PARAMS       = v.CREATE_PARAMS,
        NULLABLE            = v.NULLABLE,
        CASE_SENSITIVE      = v.CASE_SENSITIVE,
        SEARCHABLE          = v.SEARCHABLE,
        UNSIGNED_ATTRIBUTE  = v.UNSIGNED_ATTRIBUTE,
        MONEY               = v.MONEY,
        AUTO_INCREMENT      = v.AUTO_INCREMENT,
        LOCAL_TYPE_NAME     = v.LOCAL_TYPE_NAME,
        MINIMUM_SCALE       = v.MINIMUM_SCALE,
        MAXIMUM_SCALE       = v.MAXIMUM_SCALE,
        SQL_DATA_TYPE       = v.SQL_DATA_TYPE,
        SQL_DATETIME_SUB    = v.SQL_DATETIME_SUB,
        NUM_PREC_RADIX      = v.NUM_PREC_RADIX,
        INTERVAL_PRECISION  = v.INTERVAL_PRECISION,
        USERTYPE            = v.USERTYPE

    from
        sys.spt_datatype_info_view v

    where
        v.DATA_TYPE between @mintype and @maxtype and
        v.ODBCVer = @ODBCVer

    order by 2, 12, 11, 20
",1,1,3,0x4ce7ab9911f5c420,0x98a620f116243235,4
"SELECT target_data
									FROM sys.dm_xe_session_targets xet WITH(nolock)
									JOIN sys.dm_xe_sessions xes WITH(nolock)
									ON xes.address = xet.event_session_address
									WHERE xes.name = 'telemetry_xevents'
									AND xet.target_name = 'ring_buffer'",2,1,1,0x52b3b6cede6fc57a,0x99e42039e928e3d9,166
"CREATE PROC sys.sp_flush_commit_table_on_demand (@numrows as BIGINT = NULL, @deleted_rows BIGINT = NULL OUTPUT, @date_cleanedup DATETIME = NULL OUTPUT, @cleanup_ts BIGINT = NULL OUTPUT) AS
BEGIN

	IF (is_member('db_owner') = 0)
	BEGIN
		raiserror(21050,0,1)
		return 1
	END


	IF (@numrows<=0)
	BEGIN
		raiserror(23100,0,1)
		return 1
	END


	SET DEADLOCK_PRIORITY LOW
	
	IF  EXISTS (SELECT * FROM sys.change_tracking_databases where database_id = DB_ID())
	BEGIN
		DECLARE @batch_size INT
		IF (@numrows IS NULL or @numrows >= 4999)
			SET @batch_size = 4999
		ELSE
			SET @batch_size = @numrows

		-- checking for change tracking side table watermark
		DECLARE @deleted_rowcount INT
		SET		@cleanup_ts = change_tracking_hardened_cleanup_version ()
		RAISERROR(22866,0,1,35502,@cleanup_ts)

		-- checking for safe cleanup watermark
		DECLARE @cleanup_version BIGINT
		set @cleanup_version = safe_cleanup_version ()
		RAISERROR(22866,0,1,35503,@cleanup_version)

		IF @cleanup_ts > @cleanup_version
			SET @cleanup_ts = @cleanup_version

		SELECT @deleted_rowcount = 0, @deleted_rows = 0

		WHILE (1=1)
		BEGIN
			DELETE TOP(@batch_size) sys.syscommittab WHERE commit_ts < @cleanup_ts
			SELECT @deleted_rowcount = @@ROWCOUNT
			SELECT @deleted_rows += @deleted_rowcount
			SELECT @numrows -= @batch_size
			IF ((@numrows IS NOT NULL AND @numrows <= 0 ) OR @deleted_rowcount < @batch_size)
				BREAK;
		END

		select @date_cleanedup = min(commit_time) from sys.syscommittab where commit_ts = (select min(commit_ts) from sys.syscommittab)
		IF (@date_cleanedup is null)
			SET @date_cleanedup = GETUTCDATE()
		
	END
	ELSE IF EXISTS (SELECT * FROM sys.databases WHERE DB_NAME() not in ('master', 'tempdb', 'model', 'msdb', 'mssqlsystemresource'))
		TRUNCATE TABLE sys.syscommittab

END
",0,0,0,0x954c4b6bcbeaadc5,0xbb8159dff05600bf,27
"CREATE PROC sys.sp_flush_commit_table_on_demand (@numrows as BIGINT = NULL, @deleted_rows BIGINT = NULL OUTPUT, @date_cleanedup DATETIME = NULL OUTPUT, @cleanup_ts BIGINT = NULL OUTPUT) AS
BEGIN

	IF (is_member('db_owner') = 0)
	BEGIN
		raiserror(21050,0,1)
		return 1
	END


	IF (@numrows<=0)
	BEGIN
		raiserror(23100,0,1)
		return 1
	END


	SET DEADLOCK_PRIORITY LOW
	
	IF  EXISTS (SELECT * FROM sys.change_tracking_databases where database_id = DB_ID())
	BEGIN
		DECLARE @batch_size INT
		IF (@numrows IS NULL or @numrows >= 4999)
			SET @batch_size = 4999
		ELSE
			SET @batch_size = @numrows

		-- checking for change tracking side table watermark
		DECLARE @deleted_rowcount INT
		SET		@cleanup_ts = change_tracking_hardened_cleanup_version ()
		RAISERROR(22866,0,1,35502,@cleanup_ts)

		-- checking for safe cleanup watermark
		DECLARE @cleanup_version BIGINT
		set @cleanup_version = safe_cleanup_version ()
		RAISERROR(22866,0,1,35503,@cleanup_version)

		IF @cleanup_ts > @cleanup_version
			SET @cleanup_ts = @cleanup_version

		SELECT @deleted_rowcount = 0, @deleted_rows = 0

		WHILE (1=1)
		BEGIN
			DELETE TOP(@batch_size) sys.syscommittab WHERE commit_ts < @cleanup_ts
			SELECT @deleted_rowcount = @@ROWCOUNT
			SELECT @deleted_rows += @deleted_rowcount
			SELECT @numrows -= @batch_size
			IF ((@numrows IS NOT NULL AND @numrows <= 0 ) OR @deleted_rowcount < @batch_size)
				BREAK;
		END

		select @date_cleanedup = min(commit_time) from sys.syscommittab where commit_ts = (select min(commit_ts) from sys.syscommittab)
		IF (@date_cleanedup is null)
			SET @date_cleanedup = GETUTCDATE()
		
	END
	ELSE IF EXISTS (SELECT * FROM sys.databases WHERE DB_NAME() not in ('master', 'tempdb', 'model', 'msdb', 'mssqlsystemresource'))
		TRUNCATE TABLE sys.syscommittab

END
",0,0,0,0x8aa72a22c8093497,0xeeebd27bb84cd7aa,27
"if exists(select * from sys.server_event_sessions where name='telemetry_xevents')
	drop event session telemetry_xevents on server

create event session telemetry_xevents on server
 ADD EVENT [sqlserver].[error_reported]
(
WHERE severity >= 16
or (error_number = 18456
    or error_number = 17803 or error_number = 701 or error_number = 802 or error_number = 8645 or error_number = 8651
    or error_number = 8657 or error_number = 8902 or error_number = 41354 or error_number = 41355 or error_number = 41367
    or error_number = 41384 or error_number = 41336 or error_number = 41309 or error_number = 41312 or error_number = 41313
    or error_number = 33065 or error_number = 33066)
),

 ADD EVENT [sqlserver].[missing_column_statistics],

 ADD EVENT [sqlserver].[missing_join_predicate],

 ADD EVENT [sqlserver].[server_memory_change],

 ADD EVENT [sqlserver].[stretch_database_disable_completed],

 ADD EVENT [sqlserver].[stretch_database_enable_completed],

 ADD EVENT [sqlserver].[stretch_database_reauthorize_completed],

 ADD EVENT [sqlserver].[stretch_index_reconciliation_codegen_completed],

 ADD EVENT [sqlserver].[stretch_remote_column_execution_completed],

 ADD EVENT [sqlserver].[stretch_remote_column_reconciliation_codegen_completed],

 ADD EVENT [sqlserver].[stretch_remote_index_execution_completed],

 ADD EVENT [sqlserver].[stretch_table_codegen_completed],

 ADD EVENT [sqlserver].[stretch_table_alter_ddl],

 ADD EVENT [sqlserver].[stretch_table_create_ddl],

 ADD EVENT [sqlserver].[stretch_table_predicate_not_specified],

 ADD EVENT [sqlserver].[stretch_table_predicate_specified],

 ADD EVENT [sqlserver].[stretch_table_remote_creation_completed],

 ADD EVENT [sqlserver].[stretch_table_row_migration_results_event],

 ADD EVENT [sqlserver].[stretch_table_row_unmigration_results_event],

 ADD EVENT [sqlserver].[stretch_table_data_reconciliation_results_event],

 ADD EVENT [sqlserver].[stretch_table_unprovision_completed],

 ADD EVENT [sqlserver].[stretch_table_validation_error],

 ADD EVENT [sqlserver].[stretch_table_hinted_admin_update_event],

 ADD EVENT [sqlserver].[stretch_table_hinted_admin_delete_event],

 ADD EVENT [sqlserver].[stretch_table_query_error],

 ADD EVENT [sqlserver].[stretch_remote_error],

 ADD EVENT [sqlserver].[stretch_query_telemetry],

 ADD EVENT [sqlserver].[temporal_ddl_system_versioning],

 ADD EVENT [sqlserver].[temporal_dml_transaction_fail],

 ADD EVENT [sqlserver].[temporal_ddl_period_add],

 ADD EVENT [sqlserver].[temporal_ddl_period_drop],

 ADD EVENT [sqlserver].[temporal_ddl_schema_check_fail],

 ADD EVENT [sqlserver].[data_masking_ddl_column_definition],

 ADD EVENT [sqlserver].[data_masking_traffic],

 ADD EVENT [sqlserver].[data_masking_traffic_masked_only],

 ADD EVENT [sqlserver].[data_classification_ddl_column_definition],

 ADD EVENT [sqlserver].[data_classification_traffic],

 ADD EVENT [sqlserver].[data_classification_auditing_traffic],

 ADD EVENT [sqlserver].[feature_restriction_ddl],

 ADD EVENT [sqlserver].[feature_restriction_usage],

 ADD EVENT [sqlserver].[always_encrypted_query_count],

 ADD EVENT [sqlserver].[rls_query_count],

 ADD EVENT [sqlserver].[auto_stats],

 ADD EVENT [sqlserver].[database_cmptlevel_change],

 ADD EVENT [sqlserver].[database_created],

 ADD EVENT [sqlserver].[database_dropped],

 ADD EVENT [sqlserver].[reason_many_foreign_keys_operator_not_used],

 ADD EVENT [sqlserver].[interleaved_exec_status],

 ADD EVENT [sqlserver].[table_variable_deferred_compilation],

 ADD EVENT [sqlserver].[graph_match_query_compiled],

 ADD EVENT [sqlserver].[approximate_count_distinct_query_compiled],

 ADD EVENT [sqlserver].[login_protocol_count],

 ADD EVENT [sqlserver].[column_store_index_build_low_memory],

 ADD EVENT [sqlserver].[column_store_index_build_throttle],

 ADD EVENT [sqlserver].[columnstore_delete_buffer_flush_failed],

 ADD EVENT [sqlserver].[columnstore_delta_rowgroup_closed],

 ADD EVENT [sqlserver].[columnstore_index_reorg_failed],

 ADD EVENT [sqlserver].[columnstore_log_exception],

 ADD EVENT [sqlserver].[columnstore_rowgroup_merge_failed],

 ADD EVENT [sqlserver].[columnstore_tuple_mover_delete_buffer_truncate_timed_out],

 ADD EVENT [sqlserver].[columnstore_tuple_mover_end_compress],

 ADD EVENT [sqlserver].[query_memory_grant_blocking],

 ADD EVENT [sqlserver].[natively_compiled_module_inefficiency_detected],

 ADD EVENT [sqlserver].[natively_compiled_proc_slow_parameter_passing],

 ADD EVENT [sqlserver].[xtp_alter_table],

 ADD EVENT [sqlserver].[xtp_db_delete_only_mode_updatedhktrimlsn],

 ADD EVENT [sqlserver].[xtp_stgif_container_added],

 ADD EVENT [sqlserver].[xtp_stgif_container_deleted],

 ADD EVENT [xtpcompile].[cl_duration],

 ADD EVENT [xtpengine].[xtp_physical_db_restarted],

 ADD EVENT [xtpengine].[xtp_db_delete_only_mode_enter],

 ADD EVENT [xtpengine].[xtp_db_delete_only_mode_update],

 ADD EVENT [xtpengine].[xtp_db_delete_only_mode_exit],

 ADD EVENT [xtpengine].[parallel_alter_stats],

 ADD EVENT [xtpengine].[serial_alter_stats],

 ADD EVENT [sqlserver].[json_function_compiled]
(
ACTION ([database_id])
),

 ADD EVENT [sqlserver].[string_escape_compiled]
(
ACTION ([database_id])
),

 ADD EVENT [sqlserver].[window_function_used]
(
ACTION ([database_id])
),

 ADD EVENT [sqlserver].[sequence_function_used]
(
ACTION ([database_id])
),

 ADD EVENT [qds].[query_store_db_diagnostics],

 ADD EVENT [sqlserver].[index_defragmentation],

 ADD EVENT [sqlserver].[create_index_event],

 ADD EVENT [sqlserver].[index_build_error_event],

 ADD EVENT [sqlserver].[alter_column_event],

 ADD EVENT [sqlserver].[cardinality_estimation_version_usage],

 ADD EVENT [sqlserver].[query_optimizer_compatibility_level_hint_usage],

 ADD EVENT [sqlserver].[query_tsql_scalar_udf_inlined],

 ADD EVENT [sqlserver].[tsql_scalar_udf_not_inlineable],

 ADD EVENT [sqlserver].[recovery_checkpoint_stats],

 ADD EVENT [sqlserver].[multistep_execution]
(
ACTION ([database_id])
),

 ADD EVENT [sqlserver].[fulltext_filter_usage],

 ADD EVENT [sqlserver].[tx_commit_abort_stats],

 ADD EVENT [sqlserver].[server_start_stop]
add target package0.ring_buffer
(set occurrence_number = 100)
with
(
	MAX_DISPATCH_LATENCY = 120 SECONDS,
	MAX_MEMORY = 4 MB,
	startup_state = on
)
if not exists (select * from sys.dm_xe_sessions where name = 'telemetry_xevents')
	alter event session telemetry_xevents on server state=start
",0,0,0,0x19922f196e11684f,0xc991394b6dc1cf85,15
