,TABLE_CATALOG_x,TABLE_SCHEMA_x,TABLE_NAME,TABLE_TYPE,TriggerName,type_desc,create_date,modify_date,TriggerDefinition,TABLE_CATALOG_y,TABLE_SCHEMA_y,COLUMN_NAME_x,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,IndexName,IndexType,IsPrimaryKey,IsUnique,IsUniqueConstraint,COLUMN_NAME_y,IsDisabled,object_type,constraint_type,constraint_name,details
0,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,EmployeeID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,,idx_employees_names_title_birthdate,NONCLUSTERED,False,False,False,"LastName, FirstName, Title, BirthDate",False,Table,Check constraint,CK_Birthdate,([BirthDate]<getdate())
1,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,EmployeeID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,,idx_employees_names_title_birthdate,NONCLUSTERED,False,False,False,"LastName, FirstName, Title, BirthDate",False,Table,Foreign key,FK_Employees_Employees,dbo.Employees
2,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,EmployeeID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,,idx_employees_names_title_birthdate,NONCLUSTERED,False,False,False,"LastName, FirstName, Title, BirthDate",False,Table,Primary key,PK_Employees,EmployeeID
3,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,EmployeeID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,,LastName,NONCLUSTERED,False,False,False,LastName,False,Table,Check constraint,CK_Birthdate,([BirthDate]<getdate())
4,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,EmployeeID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,,LastName,NONCLUSTERED,False,False,False,LastName,False,Table,Foreign key,FK_Employees_Employees,dbo.Employees
5,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,EmployeeID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,,LastName,NONCLUSTERED,False,False,False,LastName,False,Table,Primary key,PK_Employees,EmployeeID
6,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,EmployeeID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,,PK_Employees,CLUSTERED,True,True,False,EmployeeID,False,Table,Check constraint,CK_Birthdate,([BirthDate]<getdate())
7,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,EmployeeID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,,PK_Employees,CLUSTERED,True,True,False,EmployeeID,False,Table,Foreign key,FK_Employees_Employees,dbo.Employees
8,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,EmployeeID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,,PK_Employees,CLUSTERED,True,True,False,EmployeeID,False,Table,Primary key,PK_Employees,EmployeeID
9,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,EmployeeID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,,PostalCode,NONCLUSTERED,False,False,False,PostalCode,False,Table,Check constraint,CK_Birthdate,([BirthDate]<getdate())
10,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,EmployeeID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,,PostalCode,NONCLUSTERED,False,False,False,PostalCode,False,Table,Foreign key,FK_Employees_Employees,dbo.Employees
11,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,EmployeeID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,,PostalCode,NONCLUSTERED,False,False,False,PostalCode,False,Table,Primary key,PK_Employees,EmployeeID
12,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,LastName,2,,NO,nvarchar,20.0,40.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,,idx_employees_names_title_birthdate,NONCLUSTERED,False,False,False,"LastName, FirstName, Title, BirthDate",False,Table,Check constraint,CK_Birthdate,([BirthDate]<getdate())
13,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,LastName,2,,NO,nvarchar,20.0,40.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,,idx_employees_names_title_birthdate,NONCLUSTERED,False,False,False,"LastName, FirstName, Title, BirthDate",False,Table,Foreign key,FK_Employees_Employees,dbo.Employees
14,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,LastName,2,,NO,nvarchar,20.0,40.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,,idx_employees_names_title_birthdate,NONCLUSTERED,False,False,False,"LastName, FirstName, Title, BirthDate",False,Table,Primary key,PK_Employees,EmployeeID
15,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,LastName,2,,NO,nvarchar,20.0,40.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,,LastName,NONCLUSTERED,False,False,False,LastName,False,Table,Check constraint,CK_Birthdate,([BirthDate]<getdate())
16,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,LastName,2,,NO,nvarchar,20.0,40.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,,LastName,NONCLUSTERED,False,False,False,LastName,False,Table,Foreign key,FK_Employees_Employees,dbo.Employees
17,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,LastName,2,,NO,nvarchar,20.0,40.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,,LastName,NONCLUSTERED,False,False,False,LastName,False,Table,Primary key,PK_Employees,EmployeeID
