ColumnName,DataType,MaxLength,Precision,Scale,IsNullable,IsIdentity
Relationship,varchar,9,0,0,False,False
City,nvarchar,30,0,0,True,False
CompanyName,nvarchar,80,0,0,False,False
ContactName,nvarchar,60,0,0,True,False
City,sysname,30,0,0,True,False
CompanyName,sysname,80,0,0,False,False
ContactName,sysname,60,0,0,True,False
UnitsInStock,smallint,2,5,0,True,False
UnitsOnOrder,smallint,2,5,0,True,False
ReorderLevel,smallint,2,5,0,True,False
ProductID,int,4,10,0,False,False
SupplierID,int,4,10,0,True,False
CategoryID,int,4,10,0,True,False
UnitPrice,money,8,19,4,True,False
Discontinued,bit,1,1,0,False,False
ProductName,nvarchar,80,0,0,False,False
QuantityPerUnit,nvarchar,40,0,0,True,False
CategoryName,nvarchar,30,0,0,False,False
ProductName,sysname,80,0,0,False,False
QuantityPerUnit,sysname,40,0,0,True,False
CategoryName,sysname,30,0,0,False,False
ProductID,int,4,10,0,False,True
ProductName,nvarchar,80,0,0,False,False
ProductName,sysname,80,0,0,False,False
OrderID,int,4,10,0,False,False
EmployeeID,int,4,10,0,True,False
ShipVia,int,4,10,0,True,False
Freight,money,8,19,4,True,False
OrderDate,datetime,8,23,3,True,False
RequiredDate,datetime,8,23,3,True,False
ShippedDate,datetime,8,23,3,True,False
ShipName,nvarchar,80,0,0,True,False
ShipAddress,nvarchar,120,0,0,True,False
ShipCity,nvarchar,30,0,0,True,False
ShipRegion,nvarchar,30,0,0,True,False
ShipPostalCode,nvarchar,20,0,0,True,False
ShipCountry,nvarchar,30,0,0,True,False
CompanyName,nvarchar,80,0,0,False,False
Address,nvarchar,120,0,0,True,False
City,nvarchar,30,0,0,True,False
Region,nvarchar,30,0,0,True,False
PostalCode,nvarchar,20,0,0,True,False
Country,nvarchar,30,0,0,True,False
CustomerID,nchar,10,0,0,True,False
ShipName,sysname,80,0,0,True,False
ShipAddress,sysname,120,0,0,True,False
ShipCity,sysname,30,0,0,True,False
ShipRegion,sysname,30,0,0,True,False
ShipPostalCode,sysname,20,0,0,True,False
ShipCountry,sysname,30,0,0,True,False
CompanyName,sysname,80,0,0,False,False
Address,sysname,120,0,0,True,False
City,sysname,30,0,0,True,False
Region,sysname,30,0,0,True,False
PostalCode,sysname,20,0,0,True,False
Country,sysname,30,0,0,True,False
UnitPrice,money,8,19,4,True,False
ProductName,nvarchar,80,0,0,False,False
ProductName,sysname,80,0,0,False,False
UnitsInStock,smallint,2,5,0,True,False
Discontinued,bit,1,1,0,False,False
CategoryName,nvarchar,30,0,0,False,False
ProductName,nvarchar,80,0,0,False,False
QuantityPerUnit,nvarchar,40,0,0,True,False
CategoryName,sysname,30,0,0,False,False
ProductName,sysname,80,0,0,False,False
QuantityPerUnit,sysname,40,0,0,True,False
CompanyName,nvarchar,80,0,0,True,False
City,nvarchar,30,0,0,True,False
Country,nvarchar,30,0,0,True,False
CustomerID,nchar,10,0,0,True,False
CompanyName,sysname,80,0,0,True,False
City,sysname,30,0,0,True,False
Country,sysname,30,0,0,True,False
Quantity,smallint,2,5,0,False,False
OrderID,int,4,10,0,False,False
ProductID,int,4,10,0,False,False
Discount,real,4,24,0,False,False
UnitPrice,money,8,19,4,False,False
ExtendedPrice,money,8,19,4,True,False
Freight,money,8,19,4,True,False
OrderDate,datetime,8,23,3,True,False
RequiredDate,datetime,8,23,3,True,False
ShippedDate,datetime,8,23,3,True,False
ShipName,nvarchar,80,0,0,True,False
ShipAddress,nvarchar,120,0,0,True,False
ShipCity,nvarchar,30,0,0,True,False
ShipRegion,nvarchar,30,0,0,True,False
ShipPostalCode,nvarchar,20,0,0,True,False
ShipCountry,nvarchar,30,0,0,True,False
Salesperson,nvarchar,62,0,0,False,False
ShipperName,nvarchar,80,0,0,False,False
ProductName,nvarchar,80,0,0,False,False
CustomerName,nvarchar,80,0,0,False,False
Address,nvarchar,120,0,0,True,False
City,nvarchar,30,0,0,True,False
Region,nvarchar,30,0,0,True,False
PostalCode,nvarchar,20,0,0,True,False
Country,nvarchar,30,0,0,True,False
CustomerID,nchar,10,0,0,True,False
ShipName,sysname,80,0,0,True,False
ShipAddress,sysname,120,0,0,True,False
ShipCity,sysname,30,0,0,True,False
ShipRegion,sysname,30,0,0,True,False
ShipPostalCode,sysname,20,0,0,True,False
ShipCountry,sysname,30,0,0,True,False
Salesperson,sysname,62,0,0,False,False
ShipperName,sysname,80,0,0,False,False
ProductName,sysname,80,0,0,False,False
CustomerName,sysname,80,0,0,False,False
Address,sysname,120,0,0,True,False
City,sysname,30,0,0,True,False
Region,sysname,30,0,0,True,False
PostalCode,sysname,20,0,0,True,False
Country,sysname,30,0,0,True,False
Quantity,smallint,2,5,0,False,False
OrderID,int,4,10,0,False,False
ProductID,int,4,10,0,False,False
Discount,real,4,24,0,False,False
UnitPrice,money,8,19,4,False,False
ExtendedPrice,money,8,19,4,True,False
ProductName,nvarchar,80,0,0,False,False
ProductName,sysname,80,0,0,False,False
OrderID,int,4,10,0,False,False
Subtotal,money,8,19,4,True,False
ProductSales,money,8,19,4,True,False
CategoryName,nvarchar,30,0,0,False,False
ProductName,nvarchar,80,0,0,False,False
CategoryName,sysname,30,0,0,False,False
ProductName,sysname,80,0,0,False,False
CategorySales,money,8,19,4,True,False
CategoryName,nvarchar,30,0,0,False,False
CategoryName,sysname,30,0,0,False,False
CategoryID,int,4,10,0,False,False
ProductSales,money,8,19,4,True,False
CategoryName,nvarchar,30,0,0,False,False
ProductName,nvarchar,80,0,0,False,False
CategoryName,sysname,30,0,0,False,False
ProductName,sysname,80,0,0,False,False
OrderID,int,4,10,0,False,False
SaleAmount,money,8,19,4,True,False
ShippedDate,datetime,8,23,3,True,False
CompanyName,nvarchar,80,0,0,False,False
CompanyName,sysname,80,0,0,False,False
OrderID,int,4,10,0,False,False
Subtotal,money,8,19,4,True,False
ShippedDate,datetime,8,23,3,True,False
OrderID,int,4,10,0,False,False
Subtotal,money,8,19,4,True,False
ShippedDate,datetime,8,23,3,True,False
