,TABLE_CATALOG_x,TABLE_SCHEMA_x,TABLE_NAME,TABLE_TYPE,TriggerName,type_desc,create_date,modify_date,TriggerDefinition,TABLE_CATALOG_y,TABLE_SCHEMA_y,COLUMN_NAME_x,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,IndexName,IndexType,IsPrimaryKey,IsUnique,IsUniqueConstraint,COLUMN_NAME_y,IsDisabled,object_type,constraint_type,constraint_name,details,ProcedureName
0,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,EmployeeID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,,idx_employees_names_title_birthdate,NONCLUSTERED,False,False,False,"LastName, FirstName, Title, BirthDate",False,Table,Check constraint,CK_Birthdate,([BirthDate]<getdate()),Employee Sales by Country
1,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,EmployeeID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,,idx_employees_names_title_birthdate,NONCLUSTERED,False,False,False,"LastName, FirstName, Title, BirthDate",False,Table,Foreign key,FK_Employees_Employees,dbo.Employees,Employee Sales by Country
2,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,EmployeeID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,,idx_employees_names_title_birthdate,NONCLUSTERED,False,False,False,"LastName, FirstName, Title, BirthDate",False,Table,Primary key,PK_Employees,EmployeeID,Employee Sales by Country
3,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,EmployeeID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,,LastName,NONCLUSTERED,False,False,False,LastName,False,Table,Check constraint,CK_Birthdate,([BirthDate]<getdate()),Employee Sales by Country
4,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,EmployeeID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,,LastName,NONCLUSTERED,False,False,False,LastName,False,Table,Foreign key,FK_Employees_Employees,dbo.Employees,Employee Sales by Country
5,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,EmployeeID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,,LastName,NONCLUSTERED,False,False,False,LastName,False,Table,Primary key,PK_Employees,EmployeeID,Employee Sales by Country
6,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,EmployeeID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,,PK_Employees,CLUSTERED,True,True,False,EmployeeID,False,Table,Check constraint,CK_Birthdate,([BirthDate]<getdate()),Employee Sales by Country
7,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,EmployeeID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,,PK_Employees,CLUSTERED,True,True,False,EmployeeID,False,Table,Foreign key,FK_Employees_Employees,dbo.Employees,Employee Sales by Country
8,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,EmployeeID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,,PK_Employees,CLUSTERED,True,True,False,EmployeeID,False,Table,Primary key,PK_Employees,EmployeeID,Employee Sales by Country
9,Northwind,dbo,Employees,BASE TABLE,trg_TestNoOp,SQL_TRIGGER,2024-03-10 23:10:45.747,2024-03-10 23:10:45.747,"CREATE TRIGGER trg_TestNoOp
ON employees
AFTER INSERT
AS
BEGIN
    select 1
END;",Northwind,dbo,EmployeeID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,,PostalCode,NONCLUSTERED,False,False,False,PostalCode,False,Table,Check constraint,CK_Birthdate,([BirthDate]<getdate()),Employee Sales by Country
